rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fluid_pressure,variance
1680186730612920550,,76761,,1607384162,995019264,"""fcu""",103579.99267578125,0.0
1680186730626975780,,76762,,1607384163,9019264,"""fcu""",103609.99755859375,0.0
1680186730644485667,,76763,,1607384163,27019264,"""fcu""",103609.99755859375,0.0
1680186730658704543,,76764,,1607384163,40156032,"""fcu""",103609.99755859375,0.0
1680186730675147110,,76765,,1607384163,56156032,"""fcu""",103609.99755859375,0.0
1680186730687941446,,76766,,1607384163,70156032,"""fcu""",103609.99755859375,0.0
1680186730706994815,,76767,,1607384163,87156032,"""fcu""",103609.99755859375,0.0
1680186730736836408,,76768,,1607384163,106156032,"""fcu""",103559.99755859375,0.0
1680186730751329086,,76769,,1607384163,123156032,"""fcu""",103559.99755859375,0.0
1680186730763567940,,76770,,1607384163,140156032,"""fcu""",103559.99755859375,0.0
1680186730780218935,,76771,,1607384163,155169920,"""fcu""",103559.99755859375,0.0
1680186730800047459,,76772,,1607384163,175169920,"""fcu""",103559.99755859375,0.0
1680186730818732399,,76773,,1607384163,193169920,"""fcu""",103559.99755859375,0.0
1680186730828473881,,76774,,1607384163,207169920,"""fcu""",103569.9951171875,0.0
1680186730848239262,,76775,,1607384163,225169920,"""fcu""",103569.9951171875,0.0
1680186730864132311,,76776,,1607384163,245308672,"""fcu""",103569.9951171875,0.0
1680186730884707163,,76777,,1607384163,265308672,"""fcu""",103569.9951171875,0.0
1680186730899527699,,76778,,1607384163,279308672,"""fcu""",103569.9951171875,0.0
1680186730917143762,,76779,,1607384163,297308672,"""fcu""",103619.9951171875,0.0
1680186730947361587,,76780,,1607384163,313308672,"""fcu""",103619.9951171875,0.0
1680186730967912496,,76781,,1607384163,327308672,"""fcu""",103619.9951171875,0.0
1680186730980814299,,76782,,1607384163,347347456,"""fcu""",103619.9951171875,0.0
1680186730992936897,,76783,,1607384163,367347456,"""fcu""",103619.9951171875,0.0
1680186731006537342,,76784,,1607384163,381347456,"""fcu""",103619.9951171875,0.0
1680186731021152434,,76785,,1607384163,399347456,"""fcu""",103590.00244140625,0.0
1680186731038475283,,76786,,1607384163,417347456,"""fcu""",103590.00244140625,0.0
1680186731050423466,,76787,,1607384163,431347456,"""fcu""",103590.00244140625,0.0
1680186731067663679,,76788,,1607384163,448272768,"""fcu""",103590.00244140625,0.0
1680186731082865714,,76789,,1607384163,463272768,"""fcu""",103590.00244140625,0.0
1680186731098357557,,76790,,1607384163,480272768,"""fcu""",103590.00244140625,0.0
1680186731121894310,,76791,,1607384163,496272768,"""fcu""",103569.9951171875,0.0
1680186731129787181,,76792,,1607384163,510272768,"""fcu""",103569.9951171875,0.0
1680186731161938995,,76793,,1607384163,528272768,"""fcu""",103569.9951171875,0.0
1680186731173170642,,76794,,1607384163,546286848,"""fcu""",103569.9951171875,0.0
1680186731187494177,,76795,,1607384163,560286848,"""fcu""",103569.9951171875,0.0
1680186731206812209,,76796,,1607384163,578286848,"""fcu""",103569.9951171875,0.0
1680186731223356451,,76797,,1607384163,594286848,"""fcu""",103569.9951171875,0.0
1680186731230000081,,76798,,1607384163,610286848,"""fcu""",103579.99267578125,0.0
1680186731244896856,,76799,,1607384163,626286848,"""fcu""",103579.99267578125,0.0
1680186731264946697,,76800,,1607384163,645462528,"""fcu""",103579.99267578125,0.0
1680186731281241922,,76801,,1607384163,657462528,"""fcu""",103579.99267578125,0.0
1680186731296643129,,76802,,1607384163,677462528,"""fcu""",103579.99267578125,0.0
1680186731310461791,,76803,,1607384163,689462528,"""fcu""",103579.99267578125,0.0
1680186731330432835,,76804,,1607384163,707462528,"""fcu""",103609.99755859375,0.0
1680186731344285131,,76805,,1607384163,725462528,"""fcu""",103609.99755859375,0.0
1680186731375032323,,76806,,1607384163,739462528,"""fcu""",103609.99755859375,0.0
1680186731388091299,,76807,,1607384163,757699200,"""fcu""",103609.99755859375,0.0
1680186731401053500,,76808,,1607384163,774699200,"""fcu""",103609.99755859375,0.0
1680186731416283334,,76809,,1607384163,791699200,"""fcu""",103609.99755859375,0.0
1680186731435629861,,76810,,1607384163,807699200,"""fcu""",103569.9951171875,0.0
1680186731446733347,,76811,,1607384163,827699200,"""fcu""",103569.9951171875,0.0
1680186731458765334,,76812,,1607384163,840187776,"""fcu""",103569.9951171875,0.0
1680186731475456709,,76813,,1607384163,856187776,"""fcu""",103569.9951171875,0.0
1680186731493601614,,76814,,1607384163,874187776,"""fcu""",103569.9951171875,0.0
1680186731507490296,,76815,,1607384163,888187776,"""fcu""",103569.9951171875,0.0
1680186731529620274,,76816,,1607384163,906187776,"""fcu""",103590.00244140625,0.0
1680186731544923693,,76817,,1607384163,926187776,"""fcu""",103590.00244140625,0.0
1680186731570791517,,76818,,1607384163,938187776,"""fcu""",103590.00244140625,0.0
1680186731585533805,,76819,,1607384163,960032512,"""fcu""",103590.00244140625,0.0
1680186731601330641,,76820,,1607384163,978032512,"""fcu""",103590.00244140625,0.0
1680186731620656120,,76821,,1607384163,998032512,"""fcu""",103579.99267578125,0.0
1680186731635886441,,76822,,1607384164,12032512,"""fcu""",103579.99267578125,0.0
1680186731646966274,,76823,,1607384164,28032512,"""fcu""",103579.99267578125,0.0
1680186731664573433,,76824,,1607384164,46407936,"""fcu""",103579.99267578125,0.0
1680186731680537986,,76825,,1607384164,63407936,"""fcu""",103579.99267578125,0.0
1680186731696321605,,76826,,1607384164,78407936,"""fcu""",103579.99267578125,0.0
1680186731714331342,,76827,,1607384164,94407936,"""fcu""",103579.99267578125,0.0
1680186731728925095,,76828,,1607384164,110407936,"""fcu""",103579.99267578125,0.0
1680186731745828776,,76829,,1607384164,126407936,"""fcu""",103579.99267578125,0.0
1680186731762421388,,76830,,1607384164,142671680,"""fcu""",103579.99267578125,0.0
1680186731784465865,,76831,,1607384164,159671680,"""fcu""",103579.99267578125,0.0
1680186731802187136,,76832,,1607384164,175671680,"""fcu""",103579.99267578125,0.0
1680186731819375368,,76833,,1607384164,193671680,"""fcu""",103579.99267578125,0.0
1680186731834007044,,76834,,1607384164,207671680,"""fcu""",103600.0,0.0
1680186731854059767,,76835,,1607384164,225671680,"""fcu""",103600.0,0.0
1680186731865052069,,76836,,1607384164,242067520,"""fcu""",103600.0,0.0
